School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Diversity
Our Lady of Victories Primary School,Narrabri,Government,330,188,142,53
Our Lady Queen of Peace Catholic Primary School,Narrandera,Government,247,127,120,58
Our Lady Queen of Peace Primary School,Coffs Harbour,Government,670,339,331,19
Our Lady Star of The Sea Catholic Primary School,Narromine,Government,293,143,150,22
Our Lady Star of the Sea Catholic School,Nashdale,Government,132,50,82,2
Ourimbah Public School,Shellharbour City,Catholic,379,184,195,9
Oxford Falls Grammar School,Nemingha,Government,216,113,103,4
Oxley College,Neville,Government,17,8,9,30
Oxley Park Public School,Armidale,Government,83,46,37,3
Oxley Vale Public School,Newrybar,Government,39,24,15,21
Oyster Bay Public School,Niangala,Government,4,3,1,33
Pacific Brook Christian School,Nimbin,Government,244,120,124,31
Pacific Coast Christian School,Nimmitabel,Government,32,20,12,5
Pacific Hills Christian School,Norfolk Island,Government,281,132,149,42
Pacific Palms Public School,Ocean Shores,Government,309,152,157,22
Paddington Public School,North Haven,Government,226,115,111,12
Padstow Heights Public School,North Nowra,Government,211,114,97,12
Padstow North Public School,Bonville,Government,126,57,69,45
Padstow Park Public School,North Star,Government,24,11,13,27
Palinyewah Public School,Nowendoc,Government,2,1,1,5
Pallamallawa Public School,Boomerang Beach,Government,308,127,181,64
Palmers Island Public School,Nowra East,Government,359,187,172,88
Pambula Public School,Nowra,Government,143,75,68,49
Panania North Public School,Nowra,Government,604,302,302,7
Panania Public School,Nundle,Government,56,24,32,51
Parkes Christian School,Nymboida,Government,17,7,10,66
Parkes East Public School,Nyngan,Government,122,62,60,34
Parkes Public School,Oak Flats,Government,445,231,214,13
Parklea Public School,Oaklands,Government,64,33,31,48
Parkview Public School,Oberon,Government,217,107,110,87
Parramatta East Public School,O'Connell,Government,65,32,33,43
Parramatta North Public School,Old Bar,Government,516,249,267,87
Parramatta Public School,Old Bonalbo,Government,11,5,6,82
Paterson Public School,Dubbo,Government,698,346,352,64
Paxton Public School,Orange,Government,264,116,148,0
Peak Hill Central School,Orange,Government,703,336,367,84
Peakhurst South Public School,Otford,Government,54,18,36,65
Pelaw Main Public School,Chatswood,Catholic,314,153,161,14
Penrith Anglican College,Seven Hills,Catholic,330,165,165,11
Penrith Public School,Wentworthville,Catholic,402,210,192,20
Penrith South Public School,West Pymble,Catholic,128,63,65,10
Penshurst Public School,Pagewood,Catholic,190,105,85,90
Perthville Public School,Lawson,Catholic,105,56,49,55
Petersham Public School,Wyoming,Catholic,316,147,169,49
Picnic Point Public School,Shelly Beach,Catholic,471,224,247,36
Pittwater House Schools,St Marys,Catholic,371,189,182,98
PLC Armidale,Shortland,Catholic,108,50,58,26
Pleasant Heights Public School,Greystanes,Catholic,840,419,421,31
Pooncarie Public School,Pallamallawa,Government,26,12,14,49
Port Kembla Public School,Pambula,Government,343,158,185,1
Port Macquarie Adventist School,Parkes,Government,344,167,177,33
Port Macquarie Public School,Parkes,Government,426,209,217,49
Portland Central School,Peak Hill,Government,121,59,62,41
Pottsville Beach Public School,Palmers Island,Government,48,21,27,40
Prairievale Public School,Wooli,Government,59,26,33,0
Quaama Public School,Penrose,Government,13,7,6,32
Quandialla Public School,Perthville,Government,140,71,69,80
Quirindi Public School,Pilliga,Government,15,8,7,8
Raleigh Public School,Mount Pleasant,Government,263,132,131,78
Rand Public School,Pleasant Hills,Government,24,11,13,7
Riverbank Public School,Mullumbimby,Government,17,10,7,20
Riverwood Public School,Woodburn,Government,144,62,82,10
Robertson Public School,Woodenbong,Government,190,93,97,16
Rockdale Public School,Woolgoolga,Government,387,183,204,2
Rockley Public School,Wyrallah,Government,25,15,10,33
Rollands Plains Upper Public School,Yamba,Government,317,143,174,17
Rossmore Public School,Broken Hill,Government,120,54,66,64
Rukenvale Public School,East Ballina,Government,384,171,213,29
Ruse Public School,Coffs Harbour,Government,314,162,152,26
Sacred Heart Primary School,Mona Vale,Catholic,357,186,171,45
Sacred Heart Primary School,Mona Vale,Catholic,357,186,171,57
Sacred Heart Primary School,Mosman,Catholic,394,206,188,2
Sacred Heart Primary School,Mt Druitt South,Catholic,323,165,158,35
Sacred Heart Primary School,Westmead,Catholic,198,93,105,14
Saint Mary MacKillop Colleges Limited,Armidale,Government,251,117,134,1
Salt Ash Public School,Broken Hill,Government,130,60,70,20
School of the Air,Boggabilla,Government,42,23,19,0
Scone Public School,Caroona,Government,22,13,9,33
Sefton Infants School,Castle Hill,Catholic,602,308,294,43
Shell Cove Public School,Woolbrook,Government,16,9,7,7
Shelley Public School,Clovelly,Catholic,179,86,93,55
Shellharbour Anglican College,Woolomin,Government,32,12,20,10
Sherwood Grange Public School,Yarrowitch,Government,8,4,4,23
Sherwood Ridge Public School,Yetman,Government,13,6,7,77
Singleton Public School,Castle Hill,Catholic,495,254,241,27
South Coogee Public School,Coogee,Catholic,195,94,101,6
Southern Cross Baptist Church Christian School,Singleton,Catholic,819,385,434,77
Southern Cross School of Distance Education,Wyong,Catholic,298,166,132,7
Southside Montessori School,Narellan Vale,Catholic,563,296,267,69
Spring Farm Public School,Leichhardt North,Catholic,174,94,80,23
Spring Hill Public School,Adamstown,Catholic,228,125,103,77
Springdale Heights Public School,Leichhardt,Catholic,131,64,67,0
St Agnes' Catholic Primary School,Paddington,Catholic,205,117,88,55
St Aloysius Catholic Primary School,Carlingford,Catholic,288,139,149,68
St Ambrose Catholic Primary School,Smithfield,Catholic,657,328,329,41
St Andrew's Catholic Primary School,Muswellbrook,Catholic,269,130,139,78
St Andrew's Christian School,Lidcombe,Catholic,293,143,150,12
St Angela's Primary School,Narraweena,Catholic,299,147,152,94
St Anne's Central School,Woy Woy South,Catholic,489,265,224,16
St Anthony of Padua Catholic College,Campbelltown,Catholic,525,258,267,3
St Anthony's Catholic Primary School,Morisset,Catholic,180,89,91,13
St Anthony's Primary School,Lambton,Catholic,183,90,93,6
St Augustine's College Sydney,Bulli,Catholic,396,202,194,43
St Augustine's Parish School,Bulli,Catholic,396,202,194,0
St Benedict's Primary School,Moorebank,Catholic,410,202,208,23
St Bernadette's Primary School,Narrabeen,Catholic,148,71,77,57
St Bernadette's Primary School,Oatley,Catholic,215,111,104,35
St Charles Catholic Primary School,Charlestown,Catholic,244,125,119,31
St Columba's Catholic Primary School,Wombat,Government,18,11,7,9
St Columba's Catholic Primary School,Wyalong,Government,57,30,27,32
St Columba's Primary School,Bulahdelah,Catholic,44,24,20,65
St Columba's Primary School,Bulahdelah,Catholic,44,24,20,61
St Columbkille's Catholic Primary School,Bulahdelah,Catholic,44,24,20,2
St Declan's Catholic Primary School,Bulahdelah,Catholic,44,24,20,45
St Edward's Primary School,Yanco,Government,48,22,26,1
St Euphemia College,Yenda,Government,104,42,62,4
St Finbarr's Primary School,Yerong Creek,Government,23,13,10,70
St Finbar's Primary School,Yoogali,Government,35,13,22,6
St Francis of Assisi Regional Catholic Primary School,Young,Government,542,252,290,17
St Francis Xavier Primary School,Young,Government,305,149,156,4
St Gabriel's Catholic School,Wingham,Catholic,116,56,60,4
St Ives Park Public School,Cardiff,Catholic,103,50,53,61
St James' Primary School,Clare,Government,2,1,1,1
St Jerome's Catholic Primary School,Strathfield,Catholic,292,162,130,45
St Joan of Arc Catholic Primary School,South Penrith,Catholic,415,202,213,0
St John the Apostle Catholic Primary School,Noraville,Catholic,473,247,226,87
St John the Baptist Catholic Primary School,Scone,Catholic,210,88,122,28
St John The Evangelist Catholic Primary School,Young,Catholic,321,164,157,17
St John Vianney's Primary School,West Wyalong,Catholic,117,56,61,12
St John's Catholic Primary School,Campsie,Catholic,321,161,160,15
St John's Catholic Primary School,Windsor,Catholic,220,110,110,7
St John's Parish School,Nowra,Catholic,561,271,290,9
St John's Primary School,Stanmore,Catholic,132,71,61,19
St Joseph the Worker Catholic Primary School,Nelson Bay,Catholic,267,131,136,0
St Joseph's Catholic Primary School,Cessnock,Catholic,362,180,182,74
St Joseph's Catholic Primary School,Guildford,Catholic,439,218,221,2
St Joseph's Catholic Primary School,North Parramatta,Catholic,211,125,86,34
St Joseph's Catholic Primary School,Summer Hill,Catholic,178,94,84,5
St Joseph's Catholic Primary School,Sutherland,Catholic,473,267,206,59
St Joseph's Catholic Primary School,Swansea,Catholic,154,82,72,7
St Joseph's Catholic Primary School,Swansea,Catholic,154,82,72,77
St Joseph's Parish School,Albion Park,Catholic,361,175,186,10
St Joseph's Parish School,Albion Park,Catholic,361,175,186,3
St Joseph's Parish School,Camden,Catholic,608,322,286,6
St Joseph's Parish School,Winston Hills,Catholic,401,201,200,29
St Joseph's Primary School,Adelong,Catholic,43,16,27,26
St Joseph's Primary School,Bowral,Catholic,361,167,194,15
St Joseph's Primary School,Camden,Catholic,608,322,286,17
St Joseph's Primary School,Campbelltown,Catholic,353,189,164,16
St Joseph's Primary School,Collaroy Plateau,Catholic,205,96,109,4
St Joseph's Primary School,Moss Vale,Catholic,152,79,73,95
St Joseph's Primary School,Murrumburrah,Catholic,64,40,24,5
St Joseph's Primary School,New Lambton,Catholic,618,288,330,37
St Joseph's Primary School,Northbridge,Catholic,147,76,71,3
St Joseph's Primary School,Padstow,Catholic,212,114,98,18
St Joseph's Primary School,Shellharbour,Catholic,373,210,163,55
St Joseph's Primary School,South Hurstville,Catholic,221,119,102,4
St Joseph's Primary School,Springwood,Catholic,506,242,264,54
St Joseph's Primary School,Stockton,Catholic,171,80,91,85
St Joseph's Primary School,Willoughby,Catholic,357,182,175,3
St Joseph's Primary School,Windale,Catholic,58,28,30,0
St Joseph's Primary School,Cordeaux Heights,Government,369,180,189,10
St Joseph's Primary School,Wollongong,Government,510,244,266,2
St Joseph's Primary School,Wolumla,Government,89,48,41,3
St Joseph's Primary School,Wongarbon,Government,59,20,39,3
St Joseph's Primary School,Woodstock,Government,16,9,7,7
St Joseph's Primary School,Woonona,Government,594,294,300,6
St Joseph's Primary School,Woonona,Government,190,78,112,5
St Joseph's Primary School,Wyangala,Government,4,3,1,0
St Joseph's Primary School,Wyndham,Government,22,13,9,0
St Joseph's Primary School,Yass,Government,323,152,171,1
St Joseph's Primary School,Yeoval,Government,110,49,61,6
St Kevin's Catholic Primary School,Braidwood,Catholic,134,59,75,0
St Laurence's Parish School,Goulburn,Catholic,224,112,112,41
St Lawrence's Catholic Primary School,Grenfell,Catholic,42,18,24,22
St Luke's Grammar School,Moruya,Catholic,248,123,125,0
St Madeleine's Primary School,Yass,Catholic,320,165,155,72
St Maroun's College,Greenacre,Catholic,254,122,132,0
St Mary's Cathedral College,Clifton Gardens,Catholic,140,78,62,13
St Mary's Catholic Primary School,Caringbah,Catholic,608,298,310,96
St Mary's Catholic Primary School,Sefton,Catholic,373,189,184,17
St Mary's Parish School,Cabramatta,Catholic,571,268,303,0
St Mary's Primary School,Brighton-Le-Sands,Catholic,195,97,98,98
St Mary's Primary School,Concord,Catholic,428,216,212,49
St Mary's Primary School,Concord West,Catholic,417,194,223,0
St Mary's Primary School,Strathfield South,Catholic,106,59,47,3
St Mary's Primary School,West Wollongong,Catholic,377,205,172,0
St Mary's Star of the Sea Catholic Primary School,North Sydney,Catholic,438,230,208,7
St Matthews Catholic School,Lane Cove,Catholic,522,248,274,3
St Michael's Catholic Primary School,Carnes Hill,Catholic,642,316,326,1
St Michael's Catholic Primary School,Woolooware,Catholic,175,84,91,59
St Michael's Catholic Primary School,Yagoona,Catholic,201,98,103,1
St Michael's Primary School,Bowraville,Catholic,42,18,24,8
St Michael's Primary School,Byron Bay,Catholic,260,139,121,0
St Monica's Primary School,Casino,Catholic,502,242,260,7
St Monica's Primary School,Coffs Harbour,Catholic,719,355,364,0
St Patrick's Catholic Primary School,Grafton,Catholic,175,93,82,30
St Patrick's Catholic Primary School,Grafton,Catholic,175,93,82,2
St Patrick's Catholic Primary School,South Grafton,Catholic,110,53,57,35
St Patrick's Catholic Primary School,South Grafton,Catholic,110,53,57,7
St Patrick's Catholic Primary School,South Grafton,Catholic,110,53,57,64
St Patrick's Catholic Primary School,West Kempsey,Catholic,279,146,133,4
St Patrick's Catholic Primary School,West Kempsey,Catholic,279,146,133,95
St Patrick's Parish School,Laurieton,Catholic,163,85,78,7
St Patrick's Parish School,Laurieton,Catholic,163,85,78,90
St Patrick's Parish School,Laurieton,Catholic,163,85,78,9
St Patrick's Parish School,Lismore,Catholic,583,264,319,84
St Patrick's Primary School,Lismore South,Catholic,214,108,106,10
St Patrick's Primary School,Mullumbimby,Catholic,110,44,66,93
St Patrick's Primary School,Murwillumbah,Catholic,365,206,159,89
St Patrick's Primary School,Skennars Head,Catholic,414,178,236,70
St Patrick's Primary School,South Murwillumbah,Catholic,144,64,80,85
St Patrick's Primary School,South Murwillumbah,Catholic,144,64,80,15
St Paul's Catholic Primary School,Woodburn,Catholic,107,67,40,91
St Paul's Catholic Primary School,Woodburn,Catholic,107,67,40,1
St Paul's Catholic Primary School,Woodburn,Catholic,107,67,40,28
St Paul's Grammar School,Woolgoolga,Catholic,257,128,129,5
St Paul's Lutheran Primary School,Yamba,Catholic,140,72,68,97
St Peter's Anglican College - Broulee,Mudgee,Catholic,932,492,440,1
St Peter's Anglican Primary School,Oberon,Catholic,102,48,54,55
St Philip's Christian College - Cessnock,South Bathurst,Catholic,191,90,101,14
St Philip's Christian College - Gosford,Canowindra,Catholic,62,32,30,75
St Pius X College,Gulgong,Catholic,81,35,46,15
St Rose Catholic Primary School,Orange,Catholic,518,261,257,62
St Therese Catholic Primary School,Orange,Catholic,377,189,188,29
St Therese Catholic Primary School,Yeoval,Catholic,28,12,16,16
St Therese's Community Parish School,Bourke,Catholic,90,51,39,98
St Therese's Primary School,Brewarrina,Catholic,36,16,20,0
St Thomas Aquinas Catholic Primary School,Broken Hill,Catholic,132,69,63,93
St Thomas Aquinas Primary School,Cobar,Catholic,175,88,87,30
St Thomas' Catholic Primary School,Condobolin,Catholic,103,54,49,93
Stanford Merthyr Infants School,Narromine,Catholic,115,50,65,3
Stanmore Public School,Nyngan,Catholic,107,54,53,26
Stratheden Public School,North Albury,Catholic,359,196,163,79
Strathfield North Public School,Lavington,Catholic,337,182,155,71
Stroud Public School,Coleambally,Catholic,48,25,23,55
Surveyors Creek Public School,Griffith,Catholic,425,207,218,60
Sydney Adventist School - Auburn,Leeton,Catholic,245,117,128,0
Sydney Distance Education Primary School,Leeton,Catholic,245,117,128,84
Sylvania Heights Public School,Narrandera,Catholic,188,99,89,18
Tacking Point Public School,Yoogali,Catholic,139,76,63,3
Tanja Public School,Moree,Catholic,377,195,182,8
Tara Anglican School for Girls,Mungindi,Catholic,45,22,23,8
Tarago Public School,Mungindi,Catholic,45,22,23,96
Taralga Public School,Narrabri,Catholic,187,90,97,0
Taree West Public School,West Tamworth,Catholic,175,77,98,63
Taren Point Public School,South Tamworth,Catholic,558,281,277,4
Tempe Public School,Dulwich Hill,Independent,462,201,261,6
Tenambit Public School,Chatswood,Independent,1131,0,1131,6
Teralba Public School,Kirribilli,Independent,1104,1104,0,85
Terara Public School,Strathfield,Independent,1441,0,1441,74
Terranora Public School,Lewisham,Independent,1327,0,1327,4
Terrey Hills Public School,Gregory Hills,Independent,1214,80,1134,97
Terrigal Public School,Brookvale,Independent,1341,0,1341,7
Teven-Tintenbar Public School,Strathfield,Independent,1189,1053,136,73
Tharawal Public School,Greenacre,Independent,260,118,142,1
Tharbogang Public School,Rose Bay,Independent,911,879,32,90
The Alpine School,Normanhurst,Independent,1087,1087,0,5
The Anglican School Googong,Harris Park,Independent,1221,645,576,78
The Armidale School,Punchbowl,Independent,1167,611,556,15
The Armidale Waldorf School,Menangle Park,Independent,1053,501,552,29
The Assumption Catholic Primary School,Regents Park,Independent,644,304,340,94
The Athena School,Condell Park,Independent,93,51,42,18
The Central Coast Montessori Primary School,Belrose,Independent,909,447,462,85
The Channon Public School,Dubbo,Independent,530,269,261,9
The Entrance Public School,Maroubra,Independent,274,124,150,70
The Grange Public School,Bradbury,Independent,134,59,75,20
The Hills Grammar School,Engadine,Independent,31,10,21,92
The Illawarra Grammar School,Summer Hill,Independent,2124,0,2124,0
The Junction Public School,North Casino,Independent,240,119,121,10
The King's School,Deniliquin,Independent,54,23,31,0
"The King's School, Tudor House",Greenacre,Independent,348,162,186,7
The Lakes Christian College,Bourke,Independent,16,6,10,7
The McDonald College,Glendale,Independent,211,108,103,14
The Meadows Public School,Oatlands,Independent,1106,528,578,8
The Nature School Primary,Bondi,Independent,50,22,28,50
The Oaks Public School,Rossmore,Independent,626,318,308,94
The Pocket Public School,Prospect,Independent,113,51,62,46
The Risk Public School,Armidale,Independent,44,13,31,79
The Rock Central School,Lane Cove,Independent,91,44,47,2
The Scots School Albury,Bega,Independent,36,25,11,89
The Sir Henry Parkes Memorial Public School,Greenacre,Independent,622,334,288,8
The Small School,Nambucca Heads,Independent,259,146,113,94
Thirlmere Public School,Narromine,Independent,133,63,70,9
Thirroul Public School,Tamworth,Independent,49,27,22,10
Thomas Acres Public School,Castlereagh,Independent,294,139,155,95
Thomas More Christian Montessori School,Hazelbrook,Independent,79,38,41,32
Thornleigh West Public School,Armidale,Independent,118,57,61,0
Thornton Public School,Grafton,Independent,171,74,97,75
Thurgoona Public School,Kurrajong,Independent,191,102,89,54
Tibooburra Outback Public School,Taree,Independent,633,342,291,82
Tighes Hill Public School,Mullumbimby,Independent,652,349,303,7
Tinonee Public School,Dural,Independent,267,144,123,66
Tintinhull Public School,Cooma North,Independent,85,38,47,97
Tirranna Public School,Mullumbimby,Independent,49,29,20,39
Tocumwal Public School,Albion Park,Independent,257,126,131,80
Tomaree Public School,Goonellabah,Independent,476,241,235,13
Tomerong Public School,Fountaindale,Independent,278,165,113,93
Tooleybuc Central School,Macksville,Independent,19,13,6,0
Toongabbie East Public School,Moama,Independent,686,375,311,54
Toongabbie Public School,Goonellabah,Independent,204,82,122,0
Toongabbie West Public School,Byron Bay,Independent,370,204,166,49
Tooraweenah Public School,Terragon,Independent,61,30,31,0
Toormina Public School,East Maitland,Independent,244,130,114,6
Toronto Adventist School,Austral,Independent,962,500,462,56
Toronto Public School,Blacktown,Independent,867,442,425,30
Tottenham Central School,Orange,Independent,409,198,211,93
Toukley Public School,Cordeaux Heights,Independent,582,305,277,0
Towamba Public School,Moree,Independent,99,56,43,75
Tower Street Public School,Barden Ridge,Independent,841,405,436,32
Towradgi Public School,Nulkaba,Independent,1033,519,514,93
Trangie Central School,Mosman,Independent,896,896,0,4
Tregear Public School,Murwillumbah,Independent,224,103,121,69
Trinity Anglican College - Albury,North Strathfield,Independent,303,179,124,66
Trinity Catholic Primary School,Hurstville,Independent,159,76,83,76
Trinity Catholic Primary School,Scone,Independent,518,284,234,7
Trinity Grammar School,Kempsey,Independent,524,265,259,11
Trundle Central School,Ballina,Independent,678,335,343,56
Trunkey Public School,Eungella,Independent,116,60,56,88
Tucabia Public School,Lillian Rock,Independent,97,53,44,71
Tuggerah Public School,Middle Cove,Independent,411,196,215,30
Tuggerawong Public School,Orchard Hills,Independent,745,370,375,9
Tullamore Central School,Belrose,Independent,177,95,82,12
Tullibigeal Central School,Bega,Independent,170,85,85,89
Tulloona Public School,Dubbo,Independent,525,251,274,5
Tumbarumba Public School,Bellevue Hill,Independent,1967,0,1967,74
Tumbulgum Public School,Riverstone,Independent,682,328,354,7
Tumut Public School,Richmond Hill,Independent,40,20,20,78
Tuncurry Public School,Green Valley,Independent,913,474,439,8
Tuntable Creek Public School,Jindera,Independent,192,88,104,5
Tuntable Falls Community School,Greenfield Park,Independent,744,356,388,64
Turramurra North Public School,Cundletown,Independent,384,191,193,97
Turramurra Public School,Fassifern,Independent,619,320,299,9
Tweed Heads Public School,Byron Bay,Independent,103,52,51,79
Tweed Heads South Public School,Bomaderry,Independent,913,484,429,20
Tweed Valley Adventist College,Kenthurst,Independent,899,383,516,66
Tyalgum Public School,Dover Heights,Independent,335,178,157,28
Tyalla Public School,North Parramatta,Independent,714,714,0,71
Tyndale Christian School,Sydney,Independent,1313,498,815,12
Uki Public School,Armidale,Independent,618,170,448,63
Ulan Public School,Middleton Grange,Independent,1621,774,847,5
Ulladulla Public School,Orange,Independent,1081,546,535,58
Ulmarra Public School,Cooranbong,Independent,863,444,419,24
Ulong Public School,Pymble,Independent,2273,2273,0,78
Umina Beach Public School,Kemps Creek,Independent,245,123,122,4
Unanderra Public School,Bathurst,Independent,675,327,348,1
Undercliffe Public School,Jindabyne,Independent,283,133,150,89
Ungarie Central School,North Parramatta,Independent,468,202,266,5
Upper Coopers Creek Public School,Pymble,Independent,88,36,52,5
Upper Lansdowne Public School,Riverwood,Independent,36,20,16,67
Uralla Central School,St Ives,Independent,479,186,293,4
Uranquinty Public School,Arcadia,Independent,401,172,229,35
Urbenville Public School,Roseville,Independent,973,973,0,7
Urunga Public School,Mount Annan,Independent,454,221,233,2
Vacy Public School,Gunnedah,Independent,155,74,81,88
Valentine Public School,Tamworth,Independent,722,378,344,3
Valley View Public School,Mount Druitt,Independent,340,169,171,49
Vardys Road Public School,North Sydney,Independent,1138,1138,0,7
Vaucluse Public School,Forestville,Independent,60,24,36,29
Verity Christian College,Mittagong,Independent,124,94,30,8
Victoria Avenue Public School,Randwick,Independent,377,196,181,51
Villa Maria Catholic Primary School,Farmborough Heights,Independent,627,331,296,26
Villawood East Public School,Georges Hall,Independent,931,431,500,8
Villawood North Public School,Cremorne,Independent,1600,806,794,45
Vincentia Public School,Erina,Independent,957,498,459,30
Vineyard Public School,Bega,Independent,296,165,131,0
Vistara Primary School,Armidale,Independent,261,240,21,99
Wadalba Community School,North Parramatta,Independent,1772,0,1772,0
Wagga Wagga Christian College,Port Macquarie,Independent,1157,583,574,75
Wagga Wagga Public School,Salamander Bay,Independent,717,343,374,13
Wahroonga Adventist School,Burradoo,Independent,704,364,340,71
Wahroonga Public School,Kellyville,Independent,1566,781,785,59
Waitara Public School,Tahmoor,Independent,987,553,434,5
Wakehurst Public School,Brightwaters,Independent,27,12,15,66
Wakool Burraboi Public School,Mulgoa,Independent,461,217,244,5
Walbundrie Public School,Ryde,Independent,357,176,181,46
Walcha Central School,Doonside,Independent,672,339,333,4
Walgett Community College - Primary School,Medowie,Independent,451,209,242,32
Walhallow Public School,Meadowbank,Independent,90,49,41,10
Walla Walla Public School,Hazelbrook,Independent,225,102,123,10
Wallabadah Public School,Dunmore,Independent,667,329,338,99
Wallacia Public School,Ballina,Independent,218,123,95,7
Wallerawang Public School,Goulburn,Independent,19,10,9,90
Wallsend Public School,Strathfield,Independent,1276,1276,0,0
Wallsend South Public School,Hurstville,Independent,931,931,0,96
Walters Road Public School,Henty,Independent,37,17,20,87
Wamberal Public School,Belrose,Independent,37,23,14,85
Wamoon Public School,Liverpool,Independent,890,435,455,6
Wanaaring Public School,Rose Bay,Independent,972,972,0,44
Wangi Wangi Public School,Port Macquarie,Independent,88,43,45,22
Waniora Public School,Bondi,Independent,101,46,55,41
Waratah Public School,Albury,Independent,437,224,213,3
Waratah West Public School,Bowral,Independent,363,179,184,29
Wardell Public School,Bankstown,Independent,600,286,314,4
Warialda Public School,Hurstville,Independent,785,338,447,30
Warilla North Public School,Prestons,Independent,1139,553,586,84
Warilla Public School,Campbelltown,Independent,480,229,251,11
Warragamba Public School,Wyong,Independent,736,379,357,22
Warrawee Public School,Macquarie Fields,Independent,608,301,307,5
Warrawong Public School,Mount Druitt,Independent,1182,585,597,70
Warren Central School,Orchard Hills,Independent,971,457,514,63
Warrimoo Public School,Gordon,Independent,1268,1268,0,18
Warwick Farm Public School,Strathfield,Independent,452,207,245,80
Waterfall Public School,Darlinghurst,Independent,930,930,0,31
Wattle Flat Public School,Kingsgrove,Independent,207,118,89,29
Wauchope Public School,Erina Heights,Independent,1282,640,642,71
Waverley Public School,Arncliffe,Independent,472,243,229,4
Weethalle Public School,Cobbitty,Independent,848,438,410,94
Weilmoringle Public School,Lakemba,Independent,542,279,263,2
Wellington Christian School,Morisset,Independent,253,114,139,90
Wellington Public School,Auburn,Independent,2200,1148,1052,1
Wenona School,Edgecliff,Independent,1181,1181,0,93
Wentworth Falls Public School,Broulee,Independent,365,174,191,12
Wentworth Point Public School,Mount Ousley,Independent,155,71,84,97
Wentworth Public School,Randwick,Independent,829,400,429,94
Wentworthville Public School,Greenacre,Independent,1851,999,852,1
Werrington County Public School,Oakville,Independent,1160,573,587,2
Werrington Public School,Berowra,Independent,50,20,30,2
Werris Creek Public School,Mount Druitt,Independent,260,129,131,77
West Pennant Hills Public School,Coffs Harbour,Independent,1013,503,510,75
West Ryde Public School,Parkes,Independent,217,109,108,8
West Wyalong Public School,Dubbo,Independent,29,10,19,19
Westdale Public School,Blackheath,Independent,189,80,109,0
Western Grammar School,Narara,Independent,580,264,316,7
Westlawn Public School,Green Point,Independent,960,520,440,9
Westmead Christian Grammar School,Ingleside,Independent,306,148,158,23
Westmead Public School,Kurrajong,Independent,51,24,27,41
Weston Public School,Beecroft,Independent,859,377,482,7
Westport Public School,Ashtonfield,Independent,1089,546,543,7
Whalan Public School,Bangor,Independent,1086,547,539,11
Wheeler Heights Public School,Belrose,Independent,228,111,117,13
Whian Whian Public School,Greenacre,Independent,2730,1381,1349,7
White Cliffs Public School,Nowra,Independent,413,203,210,93
Whitton-Murrami Public School,Balmain,Independent,185,87,98,5
Wiangaree Public School,Bexley,Independent,254,113,141,6
Widemere Public School,Dural,Independent,1330,643,687,0
Wideview Public School,Armidale,Independent,253,253,0,3
Wilberforce Public School,Croydon,Independent,1354,1354,0,0
Wilcannia Central School,Newtown,Independent,45,23,22,9
Wiley Park Public School,Dural,Independent,440,0,440,2
Wilkins Public School,Oakhurst,Independent,1038,502,536,5
Willawarrin Public School,Bensville,Independent,74,30,44,4
William Carey Christian School,Dee Why,Independent,1148,569,579,71
William Stimson Public School,Cranebrook,Independent,829,431,398,21
Willmot Public School,Prestons,Independent,2007,1064,943,27
Willoughby Public School,Duffys Forest,Independent,51,26,25,54
Willow Tree Public School,Moss Vale,Independent,141,41,100,8
Wilton Public School,Coffs Harbour,Independent,106,50,56,0
Wilton Public School,Rouse Hill,Independent,1307,646,661,2
Windale Public School,Burwood,Independent,1221,1221,0,8
Windang Public School,Fletcher,Independent,809,401,408,9
Windellama Public School,Metford,Independent,461,223,238,1
Windsor Park Public School,Orchard Hills,Independent,671,436,235,0
Windsor Public School,Belmont North,Independent,617,300,317,8
Windsor South Public School,Georges Hall,Independent,141,77,64,1
Wingello Public School,Erskine Park,Independent,639,298,341,5
Wingham Brush Public School,Mayfield,Independent,344,152,192,5
Wingham Public School,Gymea,Independent,116,64,52,6
Winmalee Public School,Mosman,Independent,301,0,301,0
Winston Hills Public School,Orange,Independent,334,167,167,7
Wiripaang Public School,Muswellbrook,Independent,48,25,23,54
Wirreanda Public School,Randwick,Independent,125,0,125,5
Wisemans Ferry Public School,Murwillumbah,Independent,231,124,107,49
Wollemi College,Oxford Falls,Independent,1126,553,573,15
Wollondilly Anglican College,Singleton,Independent,182,86,96,16
Wollongong Public School,Riverstone,Independent,667,345,322,11
Wombat Public School,Sydney,Independent,32,19,13,20
Wongarbon Public School,Westmead,Catholic,389,198,191,0
Woodberry Public School,Oran Park,Catholic,816,416,400,20
Woodburn Public School,Branxton,Catholic,312,167,145,0
Woodenbong Central School,North Kellyville,Independent,604,305,299,3
Woodport Public School,Oran Park,Independent,680,343,337,2
Woodstock Public School,Collaroy,Independent,848,383,465,49
Woolbrook Public School,Plumpton,Independent,328,164,164,8
Woolgoolga Public School,Bowral,Independent,80,38,42,2
Wooli Public School,Kariong,Independent,378,90,288,10
Woollahra Public School,Canley Vale,Independent,105,48,57,8
Woolomin Public School,Cecil Park,Independent,256,111,145,63
Woolooware Public School,Minto,Independent,657,354,303,57
Woongarrah Public School,Chester Hill,Independent,1118,589,529,10
